id;first_name;last_name;idp_code;country_id;is_enabled;is_complete_pofile
1;Chelsey;Wyman;California Money Market Account Squares;71664;false;false
2;Lora;Morissette;User-friendly Rustic;24404;true;false
3;Emma;Rowe;mission-critical auxiliary;12633;false;true
4;Vidal;Dietrich;Consultant Malta;39244;true;true
5;Alphonso;Schneider;indexing Chile;26106;false;false
6;Hazle;Rutherford;mobile azure Soft;44888;true;false
7;Russell;Wolf;Gorgeous Uzbekistan Sum;32791;false;false
8;Mathilde;Runolfsson;Awesome Steel Tuna;45505;true;true
9;Waino;Grant;database protocol Tennessee;64810;false;true
10;Pete;Eichmann;Compatible primary;3293;true;true
