id;phone;latitude;longitude
1;1-729-197-2356;grow Officer;Cotton Virginia Future-proofed
2;(745) 438-1721 x68427;Station;payment Program
3;343.597.6211 x52846;De-engineered Avon;Directives Gardens
4;699.441.2059;Games silver;Auto Loan Account methodologies
5;869.972.4747;Brunei Darussalam Advanced;redundant Kentucky productize
6;1-351-335-5509 x754;New Hampshire compressing;Health Ergonomic Credit Card Account
7;(778) 967-0195;Fish Ohio;Future
8;521-616-2922 x247;Baby;Jersey program 5th generation
9;(489) 077-4457;Incredible Regional;invoice Handmade
10;335.869.6822 x3078;e-markets e-enable Mount;radical deposit payment
